id,name,age,salary,hire_date,profile,department,bonus
1,Name_100,77.0,60000.0,2018-08-11,"{""address"": ""Street 22, City 40"", ""phone"": ""400000"", ""email"": ""test@gmail.com""}",Marketing,7420.0
2,Name_101,62.0,50000.0,2015-07-04,"{""address"": ""Street 20, City 49"", ""phone"": ""510000"", ""email"": ""test@gmail.com""}",Marketing,9966.0
3,Name_102,61.0,60000.0,2020-10-29,"{""address"": ""Street 77, City 24"", ""phone"": ""270000"", ""email"": ""test@gmail.com""}",HR,5543.0
4,Name_103,36.0,70000.0,,,,4896.0
5,Name_104,78.0,60000.0,2015-07-07,"{""address"": ""Street 51, City 12"", ""phone"": ""620000"", ""email"": ""test@gmail.com""}",IT,
6,Name_105,,55000.0,2017-09-12,,HR,6000.0
7,Name_106,50.0,,2019-06-23,,Finance,5500.0
8,Name_107,42.0,58000.0,,"{""address"": ""Street 65, City 37"", ""phone"": ""380000"", ""email"": ""test@gmail.com""}",,7200.0
9,Name_108,,62000.0,2016-05-15,"{""address"": ""Street 90, City 21"", ""phone"": ""460000"", ""email"": ""test@gmail.com""}",HR,5000.0
10,Name_109,55.0,60000.0,2014-11-21,,IT,6100.0
11,Name_110,29.0,59000.0,2013-03-09,"{""address"": ""Street 10, City 70"", ""phone"": ""330000"", ""email"": ""test@gmail.com""}",Marketing,5300.0
12,Name_111,60.0,,2015-12-30,,HR,6600.0
13,Name_112,40.0,61000.0,2018-01-10,,IT,
14,Name_113,35.0,57000.0,2021-07-04,"{""address"": ""Street 85, City 45"", ""phone"": ""750000"", ""email"": ""test@gmail.com""}",Finance,5800.0
15,Name_114,,,2022-02-28,"{""address"": ""Street 42, City 53"", ""phone"": ""280000"", ""email"": ""test@gmail.com""}",,5600.0
16,Name_115,58.0,60000.0,2016-08-19,,HR,
17,Name_116,65.0,63000.0,2017-05-10,,IT,5700.0
18,Name_117,38.0,,2019-09-01,,HR,7500.0
19,Name_118,47.0,64000.0,2015-04-03,,Finance,6200.0
20,Name_119,53.0,59000.0,2018-11-11,,HR,6100.0
